[12/04/2017 21:29:01,562] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: TrvFeedServletRoute started and consuming from: Endpoint[servlet:/feedTravelio]
[12/04/2017 21:29:01,563] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: TrvFeedAllZoneRoute started and consuming from: Endpoint[direct://travelioFeedAllZone]
[12/04/2017 21:29:01,565] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: TrvFeedOneZoneRoute started and consuming from: Endpoint[direct://travelioFeedOneZone]
[12/04/2017 21:29:01,568] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: TrvFeedAllCountryRoute started and consuming from: Endpoint[direct://travelioFeedAllCountry]
[12/04/2017 21:29:01,573] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: TrvFeedOneCountryRoute started and consuming from: Endpoint[direct://travelioFeedOneCountry]
[12/04/2017 21:29:01,574] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: TrvFeedOneProvinceRoute1 started and consuming from: Endpoint[direct://travelioFeedOneProvinceParallel]
[12/04/2017 21:29:01,575] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: TrvFeedOneProvinceRoute2 started and consuming from: Endpoint[direct://travelioFeedOneProvince]
[12/04/2017 21:29:01,581] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: TrvFeedWebService started and consuming from: Endpoint[direct://traveliofeeedws]
[12/04/2017 21:29:01,583] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: TrvFeedOneCityRoute started and consuming from: Endpoint[direct://travelioFeedOneCity]
[12/04/2017 21:29:01,584] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: route1 started and consuming from: Endpoint[servlet:/inactivateEANHotels]
[12/04/2017 21:29:01,585] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: route2 started and consuming from: Endpoint[servlet:/inactivateTRVHotels]
[12/04/2017 21:29:01,587] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: route3 started and consuming from: Endpoint[servlet:/deleteEANRegionHotels]
[12/04/2017 21:29:01,588] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: Servlet Indexer - Route started and consuming from: Endpoint[servlet:/indexRegions]
[12/04/2017 21:29:01,589] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: Indexer - Route started and consuming from: Endpoint[direct://indexer-init]
[12/04/2017 21:29:01,591] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: region-indexer-City started and consuming from: Endpoint[direct://region-indexer-ES-City]
[12/04/2017 21:29:01,592] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: region-indexer-Place started and consuming from: Endpoint[direct://region-indexer-ES-City-Childs]
[12/04/2017 21:29:01,593] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: region-indexer-Place-City started and consuming from: Endpoint[direct://region-indexer-ES-City-Childs-City]
[12/04/2017 21:29:01,595] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: indexer-close started and consuming from: Endpoint[direct://indexer-close]
[12/04/2017 21:29:01,600] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoFeedRoute started and consuming from: Endpoint[file:///home/jboss/data/ean/geo?move=%24simple%7Bfile%3Aparent%7D%2Fprocessed%2F%24simple%7Bdate%3Anow%3AyyyyMMdd%7D%2Fsuccess%2F%24simple%7Bfile%3Aonlyname%7D&moveFailed=%24simple%7Bfile%3Aparent%7D%2Fprocessed%2F%24simple%7Bdate%3Anow%3AyyyyMMdd%7D%2Ferrors%2F%24simple%7Bfile%3Aonlyname%7D]
[12/04/2017 21:29:01,602] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoParentRegionFeedRoute started and consuming from: Endpoint[direct://processEanGeoParentRegions]
[12/04/2017 21:29:01,603] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoRegionLocaleFeedRoute started and consuming from: Endpoint[direct://processEanGeoRegionsLanguageNames]
[12/04/2017 21:29:01,605] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoAirportFeedRoute started and consuming from: Endpoint[direct://processEanGeoAirports]
[12/04/2017 21:29:01,606] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoCityFeedRoute started and consuming from: Endpoint[direct://processEanGeoCityArea]
[12/04/2017 21:29:01,612] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoNeighborhoodFeedRoute started and consuming from: Endpoint[direct://processEanGeoNeighborhoodArea]
[12/04/2017 21:29:01,614] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoPointsOfInterestRoute started and consuming from: Endpoint[direct://processEanGeoPointsOfInterest]
[12/04/2017 21:29:01,615] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoRegionsHotelsFeedRoute started and consuming from: Endpoint[direct://processEanGeoRegionsHotels]
[12/04/2017 21:29:01,617] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoRegionCenterFeedRoute started and consuming from: Endpoint[direct://processEanGeoAreaCenter]
[12/04/2017 21:29:01,618] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: EanGeoCountries started and consuming from: Endpoint[direct://processEanGeoCountries]
[12/04/2017 21:29:01,629] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingFeedRoute started and consuming from: Endpoint[file:///home/jboss/data/booking/hotels?move=%24simple%7Bfile%3Aparent%7D%2Fprocessed%2F%24simple%7Bdate%3Anow%3AyyyyMMdd%7D%2Fsuccess%2F%24simple%7Bfile%3Aonlyname%7D&moveFailed=%24simple%7Bfile%3Aparent%7D%2Fprocessed%2F%24simple%7Bdate%3Anow%3AyyyyMMdd%7D%2Ferrors%2F%24simple%7Bfile%3Aonlyname%7D]
[12/04/2017 21:29:01,630] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingDescriptionFeedRoute started and consuming from: Endpoint[direct://processBookingDescriptions]
[12/04/2017 21:29:01,632] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingHotelFeedRoute started and consuming from: Endpoint[direct://processBookingHotels]
[12/04/2017 21:29:01,634] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingHotelImageFeedRoute started and consuming from: Endpoint[direct://processBookingHotelsImages]
[12/04/2017 21:29:01,638] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingFacilitiesFeedRoute started and consuming from: Endpoint[direct://processBookingFacilities]
[12/04/2017 21:29:01,640] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingHotelFacilitiesFeedRoute started and consuming from: Endpoint[direct://processBookingHotelFacilities]
[12/04/2017 21:29:01,645] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingHotelRoomsFeedRoute started and consuming from: Endpoint[direct://processBookingHotelRooms]
[12/04/2017 21:29:01,646] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingHotelRoomsImagesFeedRoute started and consuming from: Endpoint[direct://processBookingHotelRoomsImages]
[12/04/2017 21:29:01,648] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingHotelDescriptionImagesFeedRoute started and consuming from: Endpoint[direct://processBookingHotelDescriptionImages]
[12/04/2017 21:29:01,649] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingHotelRoomImagesToHotelImagesFeedRoute started and consuming from: Endpoint[direct://saveRoomPhotosOnHotelPhotos]
[12/04/2017 21:29:01,650] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: BookingHotelRoomsImages started and consuming from: Endpoint[direct://saveRoomPhotos]
[12/04/2017 21:29:01,653] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:3564 - Route: route4 started and consuming from: Endpoint[direct://hello]
[12/04/2017 21:29:01,654] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:2834 - Total 55 routes, of which 55 are started.
[12/04/2017 21:29:01,656] [] [INFO] [org.apache.camel.spring.SpringCamelContext]:2835 - Apache Camel 2.17.1 (CamelContext: camel) started in 10.339 seconds
[12/04/2017 21:29:01,691] [] [INFO] [org.springframework.web.context.ContextLoader]:345 - Root WebApplicationContext: initialization completed in 46819 ms
[12/04/2017 21:29:01,713] [] [INFO] [org.apache.camel.component.servlet.CamelHttpTransportServlet]:77 - Initialized CamelHttpTransportServlet[name=CamelServlet, contextPath=/feed-downloader]
[12/04/2017 21:29:11,581] [] [INFO] [org.springframework.web.context.ContextLoader]:345 - Root WebApplicationContext: initialization completed in 38988 ms
